index,2015,2016,2017,2018,2019
Yorkshire_South_East,3.4660663230112734,4.448583632411148,4.4481980965928525,3.472787784184205,2.4717584993467927
Wales,2.961336593248519,3.977899530675636,4.449841120435124,2.963966526224036,2.472639053771543
Scotland,3.470390111123564,3.980348426040736,3.981485091987781,3.4724468235010866,2.9598843822656065
North_East,2.960656235922114,3.9751714542007344,3.9760711681134113,2.960380182891975,1.9653974760404989
East_Midlands,2.965884821076531,4.958709299590217,4.959241073132694,3.974818372208929,2.9608274982835887
Missing0,3.4690035898135454,4.959003730088368,4.44926438074751,3.4721074268578,2.4769589317842566
South_East,4.961612548526169,5.93564259578412,5.447018957189151,4.445181845779123,3.4714012628741857
North_West,3.477066997161317,4.963827619936562,4.959015851397056,3.9793908426543183,2.9650926349022235
Eastern,4.959508914953722,5.445201151895785,5.448724542624655,3.973996860287792,3.4739905308141026
South_West,3.971241022105895,4.961016649350627,5.450186137846552,3.980132197534125,3.474996208425316
