Response,Share of responding businesses
Retail or wholesale (incl. online shops),24%
Other,10%
Restaurant/café or other food services,10%
"Professional services (e.g., financial services, consulting, travel agents, business services)",9%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",8%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",7%
"Personal services (e.g. beauty and wellness, repair of household goods)",6%
"Accommodation (e.g., hotels, camping grounds)",6%
Manufacturing,4%
"Healthcare (e.g., dentist, senior care)",4%
"Education (e.g., schools, tutoring, driving school)",3%
Construction or home repair,3%
"Transportation or storage (e.g., taxi, warehousing)",2%
"Real estate (e.g., brokerage, leasing, management)",1%
Automotive repair or services,1%
Non-profit/charity organization,1%
