Month,Net income/loss in million U.S. dollars
Jul-Sept '18,-63.67
Apr-Jun '18,-92.0
Jan-Mar '18,-131.71
Oct-Dec '17,-44.75
Jul-Sept '17,-66.24
Apr-Jun '17,-275.14
Jan-Mar '17,-132.27
Oct-Dec '16,-90.01
Jul-Sept '16,-61.53
Apr-Jun '16,-76.33
Jan-Mar '16,-115.1
Oct-Dec '15,-19.41
Jul-Sept '15,-85.93
Apr-Jun '15,-16.07
Jan-Mar '15,-48.26
Oct-Dec '14,12.28
Jul-Sept '14,-2.03
Apr-Jun '14,-11.73
Jan-Mar '14,-28.9
Nov-Dec '13*,11.06
Aug-Oct '13,-1.7
May-Jul '13,-7.79
Feb-Apr '13,-28.59
Nov '12-Jan '13,-14.56
Aug-Oct '12,2.05
May-Jul '12,-5.42
Feb-Apr '12,-20.23
Nov '11-Jan '12,-8.18
Aug-Oct '11,0.64
May-Jul '11,-1.81
Feb-Apr '11,-6.75
