human,Donations in million U.S. dollars
Stewart Resnick and Lynda Resnick,772.0
T. Denny Sanford,453.5
Ernest Rady and Evelyn Rady,220.0
Phillip (Terry) Ragon and Susan Ragon,200.0
Stephen Schwarzman,188.0
Kenneth Griffin,157.5
Karen H. Huntsman,150.0
Jaffray Woodriff and Merrill Woodriff,133.5
Eli Broad and Edythe Broad,131.0
Sanford Weill and Joan Weill,125.6
Orlando Bravo,125.0
Jane Zimmerman Walentas and David Walentas,105.0
David Rockefeller,103.0
Henry Samueli and Susan Samueli,100.0
James Simons,100.0
David Goel and Stacey Goel,100.0
Raymond Dalio and Barbara Dalio,100.0
Allan Herbert and Patti Herbert,89.0
Jayne Wrightsman,80.0
Richard Lundquist and Melanie Lundquist,76.0
William Swindells Jr. and Ann Johnson Swindells,75.0
Robert Challey and Sheila Challey,75.0
Philip Knight and Penelope Knight,75.0
David B. Miller and Carolyn L. Miller,72.5
Sidney Kimmel and Caroline Kimmel,70.0
Frank Sands,68.0
Fred Luddy,60.0
Ronda E. Stryker and William D. Johnston,57.7
Allison Rouse and Dorothy Rouse,52.0
Mike Garvey and Lynn Garvey,50.0
Rick Caruso and Tina Caruso,50.0
James Herscot and Carol Herscot,50.0
J. Orin Edson and Charlene Edson,50.0
Arthur M. Blank,50.0
Jeff Ubben and Laurie Ubben,50.0
Roy Vagelos and Diana Vagelos,50.0
