Month,Number of days
Sep 2020,10.2
Aug 2020,13.8
Jul 2020,14.5
Jun 2020,15.6
May 2020,5.3
Apr 2020,5.8
Mar 2020,11.8
Feb 2020,21.5
Jan 2020,14.9
Dec 2019,17.6
Nov 2019,17.5
Oct 2019,17.4
Sep 2019,15.4
Aug 2019,15.7
Jul 2019,11.0
Jun 2019,14.2
May 2019,10.8
Apr 2019,8.0
Mar 2019,16.2
Feb 2019,10.5
Jan 2019,11.0
Dec 2018,15.9
Nov 2018,14.7
Oct 2018,11.9
Sep 2018,12.8
Aug 2018,13.4
Jul 2018,7.8
Jun 2018,4.9
May 2018,7.8
Apr 2018,13.6
Mar 2018,16.7
Feb 2018,12.6
Jan 2018,18.4
Dec 2017,17.0
Nov 2017,15.4
Oct 2017,13.9
Sep 2017,18.1
Aug 2017,14.9
Jul 2017,14.9
Jun 2017,13.0
May 2017,9.8
Apr 2017,7.3
Mar 2017,14.5
Feb 2017,13.9
Jan 2017,12.3
Dec 2016,11.2
Nov 2016,12.8
Oct 2016,8.3
Sep 2016,13.6
Aug 2016,11.4
Jul 2016,13.1
Jun 2016,14.7
May 2016,9.4
Apr 2016,15.1
Mar 2016,12.0
Feb 2016,13.8
Jan '16,20.7
Dec 2015,22.2
Nov 2015,20.7
Oct 2015,10.1
Sep 2015,8.5
Aug 2015,14.5
Jul 2015,16.2
Jun 2015,9.2
May 2015,15.5
Apr 2015,8.7
Mar 2015,12.8
Feb 2015,11.1
Jan 2015,18.7
