Occupation,Unemployment rate
"Farming, fishing, and forestry occupations",10.4%
Service occupations,9.8%
Transportation and material moving occupations,9.3%
Construction and extraction occupations,8%
Production occupations,6.7%
"Total, 16 years and over",6.4%
Sales and related occupations,6.3%
Office and administrative support occupations,5.8%
"Installation, maintenance, and repair occupations",5.6%
"Management, business, and financial operations occupations",3.9%
Professional and related occupations,3.5%
