Month,Price in GBP per kilogram
Nov '19,0.49
Oct '19,0.51
Sep '19,0.5
Aug '19,0.5
Jul '19,0.53
Jun '19,0.49
May '19,0.51
Apr '19,0.51
Mar '19,0.47
Feb '19,0.49
Jan '19,0.46
Dec '18,0.48
Nov '18,0.47
Oct '18,0.45
Sep '18,0.47
Aug '18,0.52
Jul '18,0.52
Jun '18,0.47
May '18,0.48
Apr '18,0.48
Mar '18,0.46
Feb '18,0.45
Jan '18,0.47
Dec '17,0.48
Nov '17,0.49
Oct '17,0.43
Sep '17,0.41
Aug '17,0.41
Jul '17,0.42
Jun '17,0.38
May '17,0.36
Apr '17,0.38
Mar '17,0.37
Feb '17,0.37
Jan '17,0.36
Dec '16,0.35
Nov '16,0.36
Oct '16,0.37
Sep '16,0.35
Aug '16,0.38
Jul '16,0.37
Jun '16,0.36
May '16,0.36
Apr '16,0.35
Mar '16,0.35
Feb '16,0.35
Jan '16,0.36
Dec '15,0.36
Nov '15,0.35
Oct '15,0.36
Sep '15,0.38
Aug '15,0.38
Jul '15,0.38
Jun '15,0.35
May '15,0.36
Apr '15,0.34
Mar '15,0.33
Feb '15,0.34
Jan '15,0.34
