Response,Share of households
Netherlands,97%
Iceland,97%
United Kingdom,95%
Norway,94%
Kosovo,93%
Finland,93%
Luxembourg,93%
Switzerland *,90%
Germany,90%
Denmark,90%
Sweden,90%
Estonia,89%
Ireland,88%
Austria,88%
Slovenia,87%
European Union (28 countries),86%
Cyprus,86%
Spain,86%
Czechia,86%
Malta,84%
Belgium,84%
Hungary,83%
Italy,83%
Turkey,82%
Croatia,81%
France,81%
Latvia,79%
Poland,79%
Slovakia,79%
Romania,79%
Lithuania,78%
North Macedonia,78%
Portugal,77%
Greece,76%
Serbia,73%
Bulgaria,71%
Bosnia and Herzegovina,69%
Montenegro,69%
