student society,Amount donated to charity in U.S. dollars
(2) Delta Gamma,"792,499$"
(11) Kappa Alpha Theta,"695,242$"
(3) Kappa Kappa Gamma,"624,500$"
(6) Pi Beta Phi,"522,696$"
(9) Alpha Omicron Pi,"521,380$"
(14) Gamma Phi Beta,"497,675$"
(7) Kappa Delta,"414,793$"
(1) Zeta Tau Alpha,"384,039$"
(10) Alpha Phi,"342,935$"
(12) Delta Zeta,"281,668$"
(8) Delta Delta Delta,"264,508$"
(17) Alpha Gamma Delta,"234,765$"
(4) Alpha Delta Pi,"120,957$"
(13) Alpha Chi Omega,"106,675$"
(5) Chi Omega,"85,971$"
(20) Phi Sigma Sigma,"78,675$"
(15) Phi Mu,"77,000$"
(16) Sigma Kappa,"67,070$"
(21) Alpha Sigma Tau,"54,340$"
(18) Alpha Xi Delta,"47,200$"
(19) Sigma Sigma Sigma,"40,600$"
(24) Alpha Epsilon Phi,"23,571$"
(23) Sigma Delta Tau,"13,250$"
(22) Alpha Sigma Slpha,"10,375$"
(25) Theta Phi Alpha,"6,761$"
