Real estate types,Score (1 to 5= excellent)*
Retirement/ assisted living,4.37
Logistic facilities,4.35
Co-living*,4.31
Student housing,4.25
Healthcare,4.21
Self-storage facilities*,4.19
Private rented residential,4.17
Data centres*,4.14
Affordable housing,4.13
Flexible/ serviced offices,4.12
Serviced apartments,4.11
Hotels,4.03
Industrial/ warehouse,4.03
Science parks*,4.0
Housebuidling for sale,3.92
Central city offices,3.92
Social housing,3.84
Parking,3.56
Business parks,3.39
Suburban offices,3.34
High street shops,3.02
Retail parks,2.9
City centre shopping centres,2.87
Out-of-town shopping centres,2.47
