State,Number of U.S. Armed Forces personnel
California,153505
Virginia,122314
Texas,117844
North Carolina,99193
Georgia,65371
Florida,60251
Washington,58115
Hawaii,41803
South Carolina,39237
Colorado,35012
Kentucky,32247
Maryland,28259
Kansas,21507
Illinois,20955
Oklahoma,20807
New York,19710
Arizona,18850
Alaska,17732
Missouri,16908
Louisiana,14419
New Mexico,12523
Mississippi,12076
Nevada,11070
District of Columbia,8108
Alabama,7962
North Dakota,7374
Ohio,6558
Nebraska,6270
New Jersey,6103
Connecticut,5547
Utah,4277
Arkansas,3531
Delaware,3506
Idaho,3477
South Dakota,3413
Montana,3303
Wyoming,3196
Rhode Island,3075
Pennsylvania,2230
Massachusetts,2123
Tennessee,2017
New Hampshire,1084
Michigan,956
Indiana,947
Wisconsin,709
Oregon,548
Minnesota,464
Iowa,215
West Virginia,135
Vermont,135
Maine,121
