Metropolitan Statistical Area,Value of residential construction in billion U.S. dollars
"Dallas-Fort Worth-Arlington, TX",12.7
"Houston-The Woodlands-Sugar Land, TX",9.83
"New York-Newark-Jersey City, NY-NJ-PA",8.78
"Phoenix-Mesa-Chandler, AZ",8.37
"Los Angeles-Long Beach-Anaheim, CA",6.95
"Atlanta-Sandy Springs-Alpharetta, GA",6.78
"Austin-Round Rock-Georgetown, TX",5.8
"Seattle-Tacoma-Bellevue, WA",5.57
"Orlando-Kissimmee-Sanford, FL",5.23
"Miami-Fort Lauderdale-Pompano Beach, FL",5.14
"Charlotte-Concord-Gastonia, NC-SC",5.09
"Tampa-St. Petersburg-Clearwater, FL",5.08
"Minneapolis-St. Paul-Bloomington, MN-WI",4.95
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.88
"Nashville-Davidson--Murfreesboro--Franklin, TN",4.63
"Denver-Aurora-Lakewood, CO",4.31
"San Francisco-Oakland-Berkeley, CA",3.77
"Riverside-San Bernardino-Ontario, CA",3.43
"Chicago-Naperville-Elgin, IL-IN-WI",3.38
"Portland-Vancouver-Hillsboro, OR-WA",3.37
