wealthiest individuals and families in Canada,Net worth in billion Canadian dollars
Thomson family (Thomson Reuters),41.14$
Joseph Tsai (Alibaba Group),14.36$
Galen Weston (George Weston Ltd.),13.55$
Rogers family (Rogers Communications),11.57$
Saputo family (Saputo Inc.),10.41$
Garrett Camp (Uber),8.58$
Demarais family (Power Corp.),8.38$
Irving family (Irving Oil),7.38$
Richardson family (James Richardson & Sons Ltd.),6.55$
James Pattison (Jim Pattison Group),6.41$
Jeff Skoll (Participant Media),6.13$
Richard Li (PCCW),5.99$
Azrieli family (real estate),5.83$
Carlo Fidani (Orlando Corp.),4.89$
Bernard (Barry) Sherman (Apotex),4.77$
