major nonsurgical cosmetic procedures,Cost in U.S. dollars
"Botulinum Toxin Type A (Botox, Dysport)",379
Calcium hydroxylapatite (Radiance),705
Chemical peel,716
Fractional resurfacing - micro-ablative,911
Hair removal (laser or pulsed light),279
"Hyaluronic Acid (including Juvederm, Perlane/Restylane, Belotero, Prevelle, Elevess)",625
IPL laser treatment,393
Laser skin resurfacing - ablative,2245
"Nonsurgical fat reduction (incl. CoolSculpting, Vaser Shape, Liposonix)",1522
Poly-L-Latic Acid (Sculptra),850
Sclerotherapy,400
