medical specialty,Mean annual pay in U.S. dollars
Anesthesiologists,261730
Surgeons,252040
Oral and Maxillofacial Surgeons,237570
Obstetricians and Gynecologists,233610
Orthodontists,230830
Prosthodontists,220840
Psychiatrists,220430
Family Medicine Physicians,213270
"Physicians, All Other",203450
General Internal Medicine Physicians,201440
Chief Executives,193850
"Pediatricians, General",184410
Nurse Anesthetists,181040
"Dentists, General",178260
"Dentists, All Other Specialists",178040
"Airline Pilots, Copilots, and Flight Engineers",174870
Petroleum Engineers,156780
Computer and Information Systems Managers,156390
Architectural and Engineering Managers,152930
Marketing Managers,149200
Financial Managers,147530
Natural Sciences Managers,145450
Lawyers,145300
Podiatrists,142680
Advertising and Promotions Managers,141890
