U.S. Soccer employees,Salary in U.S. dollars
Jürgen Klinsmann (ex-USMNT coach),3354167
Bruce Arena (ex-USMNT coach),1274957
Dan Flynn (chief executive officer),836517
Jay Berhalter (chief operating officer),609271
Andreas Herzog (ex-USMNT assistant coach),363534
"Tom King (managing director, administration)",352235
"Tab Ramos (U-20 USMNT coach, youth technical director)",345297
George Chiampas (chief medical officer),342600
Brian Remedi (chief administrative officer),338845
Jill Ellis (USWNT coach),318533
