Month,Rt
Dec 19,1.02
Dec 18,1.01
Dec 17,1.0
Dec 16,0.99
Dec 15,0.98
Dec 14,0.97
Dec 13,0.98
Dec 12,0.94
Dec 11,0.95
Dec 10,0.97
Dec 9,0.95
Dec 8,0.98
Dec 7,0.95
Dec 6,0.91
Dec 5,0.87
Dec 4,0.83
Dec 3,0.8
Dec 2,0.81
Dec 1,0.79
Nov 30,0.8
Nov 29,0.81
Nov 28,0.81
Nov 27,0.79
Nov 26,0.79
Nov 25,0.79
Nov 24,0.78
Nov 23,0.77
Nov 22,0.76
Nov 21,0.75
Nov 20,0.77
Nov 19,0.8
Nov 18,0.78
Nov 17,0.81
Nov 16,0.85
Nov 15,0.86
Nov 14,0.86
Nov 13,0.84
Nov 12,0.83
Nov 11,0.84
Nov 10,0.84
Nov 09,0.89
Nov 08,0.91
Nov 07,0.94
Nov 06,0.99
Nov 05,1.04
Nov 04,1.09
Nov 03,1.15
Nov 02,1.15
Nov 01,1.19
Oct 31,1.24
Oct 30,1.31
Oct 29,1.37
Oct 28,1.43
Oct 27,1.44
Oct 26,1.46
Oct 25,1.49
Oct 24,1.52
Oct 23,1.53
Oct 22,1.46
Oct 21,1.45
Oct 20,1.47
Oct 19,1.45
Oct 18,1.52
Oct 17,1.56
Oct 16,1.52
Oct 15,1.55
Oct 14,1.49
Oct 13,1.45
Oct 12,1.4
Oct 11,1.39
Oct 10,1.41
Oct 09,1.34
Oct 08,1.26
Oct 07,1.24
Oct 06,1.19
Oct 05,1.19
Oct 04,1.16
Oct 03,1.09
Oct 02,1.07
Oct 01,1.11
Sep 30,1.13
Sep 29,1.13
Sep 28,1.13
Sep 27,1.17
Sep 26,1.25
Sep 25,1.35
Sep 24,1.37
Sep 23,1.34
Sep 22,1.32
Sep 21,1.33
Sep 20,1.31
Sep 19,1.38
Sep 18,1.39
Sep 17,1.38
Sep 16,1.35
Sep 15,1.34
Sep 14,1.41
Sep 13,1.47
Sep 12,1.36
Sep 11,1.28
Sep 10,1.25
Sep 09,1.21
Sep 08,1.26
Sep 07,1.13
Sep 06,1.05
Sep 05,1.03
Sep 04,0.95
Sep 03,0.94
Sep 02,0.97
Sep 01,0.88
Aug 31,0.74
Aug 30,0.7
Aug 29,0.67
Aug 28,0.73
Aug 27,0.74
Aug 26,0.74
Aug 25,0.79
Aug 24,0.85
Aug 23,0.82
Aug 22,0.85
Aug 21,0.89
Aug 20,0.88
Aug 19,0.94
Aug 18,0.92
Aug 17,1.02
Aug 16,1.14
Aug 15,1.13
Aug 14,1.15
Aug 13,1.19
Aug 12,1.17
Aug 11,1.27
Aug 10,1.14
Aug 09,1.12
Aug 08,1.17
Aug 07,1.16
Aug 06,1.07
Aug 05,1.02
Aug 04,0.99
Aug 03,1.12
Aug 02,1.11
Aug 01,1.08
Jul 31,1.11
Jul 30,1.33
Jul 29,1.48
Jul 28,1.44
Jul 27,1.23
Jul 26,1.24
Jul 25,1.34
Jul 24,1.45
Jul 23,1.27
Jul 22,1.16
Jul 21,1.09
Jul 20,1.34
Jul 19,1.35
Jul 18,1.26
Jul 17,1.06
Jul 16,1.03
Jul 15,1.0
Jul 14,0.98
Jul 13,0.91
Jul 12,0.88
Jul 11,0.85
Jul 10,0.91
Jul 09,0.87
Jul 08,0.88
Jul 07,0.85
Jul 06,0.84
Jul 05,0.84
Jul 04,0.79
Jul 03,0.77
Jul 02,0.88
Jul 01,0.93
Jun-30,0.97
Jun-29,0.9
Jun 28,0.87
Jun 27,0.87
Jun 26,0.88
Jun 25,0.87
Jun 24,0.85
Jun 23,0.85
Jun 22,0.93
Jun 21,0.9
Jun 20,0.92
Jun 19,0.85
Jun 18,0.85
Jun 17,0.91
Jun 16,0.88
Jun 15,0.85
Jun 14,0.85
Jun 13,0.86
Jun 12,0.89
Jun 11,0.87
Jun 10,0.84
Jun 09,0.81
Jun 08,0.81
Jun 07,0.82
Jun 06,0.8
Jun 05,0.84
Jun 04,0.81
Jun 03,0.76
Jun-02,0.83
Jun 01,0.81
May 31,0.82
May 30,0.78
May 29,0.76
May 28,0.73
May 27,0.78
May 26,0.8
May 25,0.83
May 24,0.82
May 23,0.83
May 22,0.83
May 21,0.88
May 20,0.87
May 19,0.86
May 18,0.85
May 17,0.79
May 16,0.78
May 15,0.78
May 14,0.76
May 13,0.78
May 12,0.77
May 11,0.79
May 10,0.8
May 09,0.74
May 08,0.68
May 07,0.69
May 06,0.69
May 05,0.71
May 04,0.72
May 03,0.7
May 02,0.71
May 01,0.77
Apr 30,0.79
Apr 29,0.79
Apr 28,0.77
Apr 27,0.79
Apr 26,0.78
Apr 25,0.8
Apr 24,0.8
Apr 23,0.81
Apr 22,0.84
Apr 21,0.84
Apr 20,0.8
Apr 19,0.78
Apr 18,0.76
Apr 17,0.77
Apr 16,0.77
Apr 15,0.79
Apr 14,0.81
Apr 13,0.87
Apr 12,0.86
Apr 11,0.87
Apr 10,0.87
Apr 09,0.88
Apr 08,0.89
Apr 07,0.91
Apr 06,0.92
Apr 05,0.98
Apr 04,1.06
Apr 03,1.15
Apr 02,1.24
Apr 01,1.31
Mar 31,1.42
Mar 30,1.53
Mar 29,1.63
Mar 28,1.73
Mar 27,1.84
Mar 26,1.98
Mar 25,2.16
Mar 24,2.3
Mar 23,2.62
