Country,Number of cases
United Kingdom,614632
Russia,497470
Germany,264861
Turkey,227750
Italy,202261
France,182374
Spain,139595
Netherlands,131293
Poland,120247
Czechia,119191
Ukraine,103100
Sweden,80319
Switzerland,72465
Portugal,53133
Romania,49135
Serbia,40123
Slovakia,36763
Denmark,34277
Lithuania,33510
Austria,28352
Belarus,26439
Hungary,23721
Ireland,22345
Georgia,20301
Slovenia,19959
Belgium,19949
Azerbaijan,18177
Croatia,17230
Bulgaria,11856
Latvia,11557
Moldova,10666
Greece,9027
Norway,7940
Estonia,7727
Bosnia And Herzegovina,7121
Albania,6435
Cyprus,6286
Armenia,6155
North Macedonia,5719
Montenegro,5240
Finland,3757
Luxembourg,2852
Kosovo,2796
Malta,1368
Gibraltar,1162
Andorra,615
Jersey,485
Liechtenstein,393
San Marino,386
Monaco,179
Iceland,112
Faroe Islands,74
Guernsey,7
Isle Of Man,7
Vatican City,0
