Month,Number of visitors in thousands
Oct '19,38.03
Sep '19,38.43
Aug '19,48.09
Jul '19,61.36
Jun '19,61.2
May '19,45.48
Apr '19,40.52
Mar '19,41.23
Feb '19,30.63
Jan '19,35.59
Dec '18,44.01
Nov '18,31.55
Oct '18,31.88
Sep '18,32.45
Aug '18,43.28
Jul '18,50.31
Jun '18,48.28
May '18,34.19
Apr '18,29.71
Mar '18,35.51
Feb '18,23.96
Jan '18,26.62
Dec '17,36.55
Nov '17,29.75
Oct '17,28.75
Sep '17,30.05
Aug '17,39.67
Jul '17,46.43
Jun '17,44.09
May '17,34.84
Apr '17,33.27
Mar '17,30.99
Feb '17,22.81
Jan '17,25.95
Dec '16,34.24
Nov '16,25.38
Oct '16,25.42
Sep '16,28.81
Aug '16,32.52
Jul '16,41.7
Jun '16,36.02
May '16,33.01
Apr '16,26.73
Mar '16,31.71
Feb '16,22.66
Jan '16,26.71
Dec '15,33.82
Nov '15,24.6
Oct '15,25.47
Sep '15,28.68
Aug '15,33.2
Jul '15,39.67
Jun '15,35.09
May '15,31.86
Apr '15,24.95
Mar '15,27.77
Feb '15,20.34
Jan '15,25.13
