Month,Sales in billion U.S. dollars
Jan '12,3.44
Febr '12,3.38
Mar '12,3.42
Apr '12,3.38
May '12,3.36
Jun '12,3.43
Jul '12,3.61
Aug '12,3.64
Sep '12,3.64
Oct' 12,3.53
Nov '12,3.41
Dec '12,3.19
Jan '13,3.0
Feb '13,2.85
Mar '13,2.8
Apr '13,2.72
May '13,2.74
Jun '13,2.72
Jul '13,2.93
Aug '13,3.06
Sep '13,3.15
Oct '13,3.11
Nov '13,3.07
Dec '13,2.93
Jan '14,2.86
Feb '14,2.84
Mar '14,2.81
Apr '14,2.84
May '14,2.72
Jun '14,2.94
Jul '14,2.99
Aug '14,3.07
Sep '14,3.03
Oct '14,3.01
Nov '14,2.93
Dec '14,2.8
Jan '15,2.62
Feb '15,2.55
Mar '15,2.54
Apr '15,2.54
May '15,2.54
Jun '15,2.57
Jul '15,2.63
Aug '15,2.67
Sep '15,2.69
Oct '15,2.7
Nov '15,2.68
Dec '15,2.57
Jan '16,2.48
Feb '16,2.47
Mar '16,2.59
Apr '16,2.6
May '16,2.56
Jun '16,2.53
Jul '16,2.6
Aug '16,2.74
Sep '16,2.8
Oct '16,2.89
Nov '16,2.9
Dec '16,2.84
Jan '17,2.79
Feb '17,2.77
Mar '17,2.87
Apr '17,2.89
May '17,2.96
Jun '17,2.98
Jul '17,3.04
Aug '17,3.13
Sep '17,3.14
Oct '17,3.2
Nov '17,3.21
Dec '17,3.24
Jan '18,3.21
Feb '18,3.18
Mar '18,3.21
Apr '18,3.29
May '18,3.35
Jun '18,3.39
Jul '18,3.39
Aug '18,3.41
Sep '18,3.4
Oct '18,3.41
Nov '18,3.39
Dec '18,3.32
Jan '19,3.16
