Month,Number of completed house sales
Jun '20,28397
May '20,21877
Apr '20,55018
Mar '20,56935
Feb '20,57952
Jan '20,53373
Dec '19,67917
Nov '19,76231
Oct '19,75224
Sep '19,69983
Aug '19,80967
Jul '19,76803
Jun '19,72588
May '19,70388
Apr '19,63568
Mar '19,68845
Feb '19,60537
Jan '19,57204
Dec '18,74096
Nov '18,86667
Oct '18,81251
Sep '18,72798
Aug '18,89277
Jul '18,78137
Jun '18,83400
May '18,71389
Apr '18,62306
Mar '18,71984
Feb '18,61770
Jan '18,60308
Dec '17,81181
Nov '17,81262
Oct '17,81518
Sep '17,82506
Aug '17,87242
Jul '17,81136
Jun '17,89018
May '17,73109
Apr '17,65808
Mar '17,78295
Feb '17,63887
Jan '17,60554
Dec '16,84186
Nov '16,78181
Oct '16,74782
Sep '16,80168
Aug '16,83777
Jul '16,81976
Jun '16,78071
May '16,63304
Apr '16,55412
Mar '16,125046
Feb '16,68339
Jan '16,62780
Dec '15,84495
Nov '15,82925
Oct '15,92632
Sep '15,83993
Aug '15,85875
Jul '15,94252
Jun '15,85909
May '15,75812
Apr '15,65541
Mar '15,68555
Feb '15,60419
Jan '15,59092
