Android app categories,Penetration rate among Android users
Tools,99.94%
Communication,99.77%
Business,99.43%
Video Players & Edit,98.23%
Music & Audio,97.43%
Travel & Local,97.32%
Social,96.98%
Productivity,96.69%
Entertainment,92.93%
News & Magazines,90.59%
Books & Reference,90.02%
Lifestyle,82.83%
Photography,82.14%
Personalization,71.19%
Shopping,64.69%
Games - Puzzle,53.79%
Games - Casual,52.77%
Weather,52.65%
Finance,50.09%
Health & Fitness,43.24%
Games - Arcade,43.24%
Sports,37.71%
Education,33.26%
Maps & Navigation,28.47%
Games - Action,27.84%
Games - Word,26.3%
Games - Card,24.87%
Games - Board,23.5%
Media & Video,21.68%
Games - Racing,19.57%
Food & Drink,19.17%
Games - Casino,19%
Games - Strategy,16.83%
Games - Adventure,16.2%
Medical,14.09%
Games - Simulation,14.09%
Games - Action & Adventure,13.35%
Games - Trivia,12.55%
House & Home,12.15%
Games - Role Playing,10.27%
Art & Design,10.04%
Games - Brain Games,8.78%
Comics,8.21%
Creativity,7.47%
Libraries & Demo,6.05%
Music,5.88%
Dating,5.02%
Games - Educational,4.45%
Gamse - Pretend Play,3.82%
Auto & Vehicles,3.76%
Beauty,3.37%
Games - Arcade & Action,2.8%
Games - Brain & Puzzle,2.4%
Music & Video,2.05%
Events,2%
Transportation,1.43%
Parenting,1.2%
Games - Cards & Casino,1.08%
Family,1.03%
Games - Sports Games,0.51%
