Quarter,Gross disposable income in million euros
Q1 20*,94645
Q4 19*,100363
Q3 19*,94168
Q2 19*,112830
Q1 19*,90618
Q4 18*,97324
Q3 18*,90895
Q2 18*,108028
Q1 18*,86376
Q4 17,92427
Q3 17,86306
Q2 17,103180
Q1 17,83441
Q4 16,90397
Q3 16,84336
Q2 16,101043
Q1 16,80818
Q4 15,86405
Q3 15,82761
Q2 15,98678
Q1 15,78665
Q4 14,84890
Q3 14,79760
Q2 14,96674
Q1 14,78913
Q4 13,83203
Q3 13,78345
Q2 13,94132
Q1 13,76485
Q4 12,81031
Q3 12,77152
Q2 12,93528
Q1 12,77100
Q4 11,79780
Q3 11,75835
Q2 11,95089
Q1 11,75432
Q4 10,78144
Q3 10,76593
Q2 10,90560
Q1 10,73783
Q4 09,78428
Q3 09,73217
Q2 09,93104
Q1 09,69529
Q4 08,77190
Q3 08,74872
Q2 08,92029
Q1 08,70546
Q4 07,75236
Q3 07,72665
Q2 07,87867
Q1 07,68691
Q4 06,71881
Q3 06,69741
Q2 06,84867
Q1 06,65847
Q4 05,66164
Q3 05,68705
Q2 05,81081
Q1 05,63927
Q4 04,65895
Q3 04,65932
Q2 04,80773
Q1 04,63221
Q4 03,64688
Q3 03,66736
Q2 03,77305
Q1 03,62005
Q4 02,64730
Q3 02,64698
Q2 02,76715
Q1 02,61517
Q4 01,62826
Q3 01,63550
Q2 01,73174
Q1 01,59892
Q4 00,57098
Q3 00,57161
Q2 00,66286
Q1 00,55838
Q4 99,55289
Q3 99,54056
Q2 99,63133
Q1 99,50809
