ice hockey team,Average attendance
Chicago Blackhawks,21441
Montreal Canadiens,21085
Philadelphia Flyers,18390
Toronto Maple Leafs,19301
Detroit Red Wings,18716
Tampa Bay Lightning,18922
Minnesota Wild,17472
Pittsburgh Penguins,18537
Washington Capitals,18570
Calgary Flames,18751
Edmonton Oilers,17533
Vegas Golden Knights,18310
Dallas Stars,20326
Vancouver Canucks,18679
Los Angeles Kings,16916
Buffalo Sabres,17167
Boston Bruins,17681
Nashville Predators,17407
St. Louis Blues,18096
New York Rangers,17206
San Jose Sharks,16427
Colorado Avalanche,18708
Anaheim Ducks,15846
Columbus Blue Jackets,16898
Winnipeg Jets,15794
New Jersey Devils,14899
Ottawa Senators,12618
Carolina Hurricanes,16905
Arizona Coyotes,14605
Florida Panthers,14104
New York Islanders,12810
