Month,Price index*
Nov 19,110.64
Oct 19,99.53
Sep 19,106.67
Aug 19,122.47
Jul 19,150.45
Jun 19,150.45
May 19,146.81
Apr 19,143.16
Mar 19,138.93
Feb 19,139.57
Jan 19,138.22
Dec 18,136.87
Nov 18,136.37
Oct 18,124.09
Sep 18,134.3
Aug 18,146.89
Jul 18,116.57
Jun 18,115.14
May 18,115.18
Apr 18,110.3
Mar 18,108.95
Feb 18,106.83
Jan 18,101.13
Dec 17,98.29
Nov 17,95.08
Oct 17,87.01
Sep 17,98.5
Aug 17,113.03
Jul 17,126.5
Jun 17,136.82
May 17,146.96
Apr 17,152.72
Mar 17,154.45
Feb 17,149.52
Jan 17,142.25
Dec 16,140.32
Nov 16,131.63
Oct 16,108.87
Sep 16,116.62
Aug 16,124.27
Jul 16,143.76
Jun 16,178.76
May 16,156.8
Apr 16,141.32
Mar 16,121.08
Feb 16,110.27
Jan 16,108.45
Dec 15,104.29
Nov 15,99.1
Okt 15,98.66
Sep 15,108.35
Aug 15,123.3
Jul 15,118.16
Jun 15,108.41
May 15,96.59
Apr 15,90.71
Mar 15,86.8
Feb 15,84.65
Jan 15,80.97
Dec 14,80.57
Nov 14,79.14
Oct 14,82.1
Sep 14,92.09
Aug 14,103.3
Jul 14,63.41
Jun 14,103.85
May 14,112.75
Apr 14,109.37
