Month,Index points
Jan 3,2.9
Jan 2,3.1
Jan 1,3.6
Dec 31,2.7
Dec 30,1.4
Dec 29,1.2
Dec 28,1.2
Dec 27,2.6
Dec 26,2.2
Dec 25,1.3
Dec 24,1.2
Dec 23,1.2
Dec 22,1.2
Dec 21,1.3
Dec 20,2.7
Dec 19,2.3
Dec 18,1.3
Dec 17,1.3
Dec 16,1.3
Dec 15,1.2
Dec 14,1.3
Dec 13,2.7
Dec 12,2.3
Dec 11,1.3
Dec 10,1.3
Dec 9,1.3
Dec 8,1.3
Dec 7,1.4
Dec 6,2.7
Dec 5,2.3
Dec 4,1.4
Dec 3,1.4
Dec 2,1.3
Dec 1,1.3
Nov 30,1.4
Nov 29,2.8
Nov 28,2.3
Nov 27,1.3
Nov 26,1.3
Nov 25,1.3
Nov 24,1.3
Nov 23,1.4
Nov 22,2.8
Nov 21,2.3
Nov 20,1.4
Nov 19,1.4
Nov 18,1.4
Nov 17,1.3
Nov 16,1.4
Nov 15,2.7
Nov 14,2.3
Nov 13,1.3
Nov 12,1.3
Nov 11,1.3
Nov 10,1.2
Nov 9,1.3
Nov 8,2.8
Nov 7,2.2
Nov 6,1.3
Nov 5,1.3
Nov 4,2.5
Nov 3,1.2
Nov 2,1.3
Nov 1,2.7
Oct 31,2.2
Oct 30,1.2
Oct 29,1.1
Oct 28,1.1
Oct 27,1.1
Oct 26,1.2
Oct 25,2.5
Oct 24,2.1
Oct 23,1.1
Oct 22,1.2
Oct 21,1.2
Oct 20,1.2
Oct 19,1.2
Oct 18,2.7
Oct 17,2.1
Oct 16,1.2
Oct 15,1.0
Oct 14,1.0
Oct 13,1.0
Oct 12,1.1
Oct 11,2.3
Oct 10,1.9
Oct 9,1.1
Oct 8,0.9
Oct 7,0.9
Oct 6,0.8
Oct 5,0.9
Oct 4,2.1
Oct 3,1.7
Oct 2,0.6
Oct 1,0.5
Sept 30,0.5
Sept 29,0.5
Sept 28,0.6
Sept 27,2.0
Sept 26,1.5
Sept 25,0.4
Sept 24,0.4
Sept 23,0.4
Sept 22,0.4
Sept 21,0.6
Sept 20,2.2
Sept 19,1.8
Sept 18,0.6
Sept 17,0.5
Sept 16,0.4
Sept 15,0.4
Sept 14,0.5
Sept 13,2.2
Sept 12,1.6
Sept 11,0.5
Sept 10,0.6
Sept 9,0.5
Sept 8,0.5
Sept 7,0.4
Sept 6,2.0
Sept 5,1.6
Sept 4,0.4
Sept 3,0.4
Sept 2,0.4
Sept 1,0.4
Aug 31,0.6
Aug 30,2.0
Aug 29,1.6
Aug 28,0.7
Aug 27,0.5
Aug 26,0.7
Aug 25,0.5
Aug 24,0.6
Aug 23,1.9
Aug 22,1.5
Aug 21,0.5
Aug 20,0.5
Aug 19,0.5
Aug 18,0.5
Aug 17,0.6
Aug 16,2.0
Aug 15,1.5
Aug 14,0.6
Aug 13,0.7
Aug 12,0.6
Aug 11,0.5
Aug 10,0.5
Aug 9,1.9
Aug 8,1.5
Aug 7,0.5
Aug 6,0.5
Aug 5,0.5
Aug 4,0.5
Aug 3,0.6
