Country,Concentration in micrograms per cubic meter
Suriname,25.0
Peru,25.0
Guatemala,24.0
Trinidad and Tobago,24.0
El Salvador,24.0
Barbados,23.0
Belize,23.0
Grenada,23.0
Saint Vincent and the Grenadines,22.0
Saint Lucia,22.0
Guyana,22.0
Bolivia,22.0
Mexico,21.0
Chile,21.0
Honduras,21.0
Cuba,20.0
Dominica,19.0
Antigua and Barbuda,19.0
Nicaragua,18.0
Bahamas,17.0
Venezuela,17.0
Colombia,17.0
Costa Rica,16.0
Ecuador,15.0
Haiti,15.0
Dominican Republic,14.0
Brazil,13.0
Jamaica,13.0
Argentina,13.0
Paraguay,12.0
Panama,11.0
Uruguay,9.3
Puerto Rico,8.3
