Response,Share of 2019 OE
Mississippi,111.7%
Iowa,110.9%
Florida,107.3%
Delaware,106.2%
Massachusetts,105.9%
Oklahoma,105.2%
Nebraska,103.9%
Minnesota,103.5%
Utah,102.9%
Texas,102.7%
California,101.6%
Maryland,101.3%
Georgia,101.2%
South Dakota,100.9%
North Carolina,100.8%
Rhode Island,100.5%
New York,100.4%
New Hampshire,99.6%
South Carolina,99.6%
Hawaii,99.4%
Alaska,99.4%
North Dakota,99.3%
Wyoming,98.9%
Vermont,98.3%
Kentucky,98.2%
Oregon,98%
Colorado,98%
Connecticut,97.1%
Montana,96.6%
Alabama,96.6%
New Jersey,96.5%
Washington,96.3%
District of Columbia,95.9%
Michigan,95.9%
Arkansas,95.5%
Arizona,95.4%
Kansas,95.4%
Wisconsin,95.3%
Ohio,95.1%
Indiana,95%
New Mexico,94.9%
Louisiana,94.4%
Illinois,93.8%
Nevada,92.8%
Missouri,92%
Tennessee,90.5%
Pennsylvania,90.1%
West Virginia,88.8%
Maine,87.4%
Idaho,83.1%
Virginia,82.2%
United States,99.7%
