University,Number of students
"New York University, NY",21093
"Northeastern University - Boston, MA",17491
"University of Southern California, CA",17309
"Columbia University, NY",17145
"University of Illinois - Urbana-Champaign, IL",13962
"Arizona State University - Tempe, AZ",13136
"University of California - Los Angeles, CA",11447
"University of California - San Diego, CA",11272
"Purdue University - West Lafayette, IN",11173
"Boston University, MA",11158
"University of California - Berkeley, CA",10695
"Pennsylvania State University - University Park, PA",9244
"University of Washington, WA",9236
"University of Michigan - Ann Arbor, MI",9000
"University of Texas - Dallas, TX",8787
"University of California - Irvine, CA",8773
"Carnegie Mellon University, PA",8694
"University of California - Davis, CA",7919
"Ohio State University - Columbus, OH",7894
"Cornell University - Ithaca, NY",7623
