nonprofit organization,Support in billion U.S. dollars
United Way Worldwide,3.3
Feeding America,2.76
Task Force for Global Health,2.61
Salvation Army,2.01
St. Jude Children's Research Hospital,1.72
American National Red Cross,1.52
Direct Relief,1.44
Habitat for Humanity International,1.36
YMCA of the USA,1.07
Americares Foundation,1.04
Boys & Girls Clubs of America,1.03
Compassion International,0.95
Food for the Poor,0.93
Goodwill Industries International,0.88
Nature Conservancy,0.83
Lutheran Services in America,0.81
Catholic Medical Mission Board,0.73
Step Up for Students,0.72
World Vision,0.72
Catholic Charities USA,0.71
