city of the United States,"Birth rate (births per 1,000 population)"
"Hinesville, GA",20.14
"Jacksonville, NC",19.96
"Provo-Orem, UT",18.65
"Odessa, TX",17.54
"Watertown-Fort Drum, NY",17.42
"Laredo, TX",17.12
"Clarksville, TN-KY",17.04
"Midland, TX",16.89
"Logan, UT-ID",16.85
"McAllen-Edinburg-Mission, TX",16.18
"Idaho Falls, ID",15.85
"Fairbanks, AK",15.83
"Manhattan, KS",15.75
"Fayetteville, NC",15.37
"Killeen-Temple, TX",15.29
"Hanford-Corcoran, CA",15.18
"Visalia, CA",15.08
"El Centro, CA",15.05
"Yakima, WA",14.93
"Ogden-Clearfield, UT",14.82
"Elkhart-Goshen, IN",14.8
"Merced, CA",14.71
"Grand Island, NE",14.7
"Brownsville-Harlingen, TX",14.66
"Sioux Falls, SD",14.66
"Bakersfield, CA",14.6
"Fresno, CA",14.52
"Hammond, LA",14.49
"Salt Lake City, UT",14.24
"Lake Charles, LA",14.18
"Enid, OK",14.15
"Twin Falls, ID",14.04
"Yuma, AZ",13.99
"Sioux City, IA-NE-SD",13.9
"Kennewick-Richland, WA",13.85
"Grand Forks, ND-MN",13.84
"El Paso, TX",13.81
"Yuba City, CA",13.76
"Abilene, TX",13.72
"Fargo, ND-MN",13.66
"Omaha-Council Bluffs, NE-IA",13.53
"Houston-The Woodlands-Sugar Land, TX",13.48
"Fort Wayne, IN",13.46
"Pocatello, ID",13.46
"Greeley, CO",13.44
"Columbus, GA-AL",13.43
"Modesto, CA",13.43
"Madera, CA",13.4
"Lawton, OK",13.39
"Fayetteville-Springdale-Rogers, AR",13.37
