Month,Number of tests
"Nov 24, 2020",904
"Nov 23, 2020",1211
"Nov 22, 2020",529
"Nov 21, 2020",778
"Nov 20, 2020",994
"Nov 19, 2020",966
"Nov 18, 2020",975
"Nov 17, 2020",1187
"Nov 16, 2020",1597
"Nov 15, 2020",657
"Nov 14, 2020",879
"Nov 13, 2020",1352
"Nov 12, 2020",1228
"Nov 11, 2020",1145
"Nov 10, 2020",1335
"Nov 9, 2020",1594
"Nov 8, 2020",870
"Nov 7, 2020",1093
"Nov 6, 2020",1749
"Nov 5, 2020",1781
"Nov 4, 2020",2088
"Nov 3, 2020",2197
"Nov 2, 2020",2089
"Nov 1, 2020",1284
"Oct 31, 2020",1457
"Oct 30, 2020",2149
"Oct 29, 2020",2500
"Oct 28, 2020",2108
"Oct 27, 2020",3153
"Oct 26, 2020",2699
"Oct 25, 2020",1187
"Oct 24, 2020",1413
"Oct 23, 2020",2135
"Oct 22, 2020",1858
"Oct 21, 2020",2218
"Oct 20, 2020",1753
"Oct 19, 2020",2552
"Oct 18, 2020",1350
"Oct 17, 2020",1856
"Oct 16, 2020",2328
"Oct 15, 2020",2715
"Oct 14, 2020",2789
"Oct 13, 2020",2174
"Oct 12, 2020",3690
"Oct 11, 2020",1503
"Oct 10, 2020",2152
"Oct 9, 2020",4064
"Oct 8, 2020",4133
"Oct 7, 2020",3362
"Oct 6, 2020",2686
"Oct 5, 2020",3227
"Oct 4, 2020",2000
"Oct 3, 2020",1695
"Oct 2, 2020",1811
"Oct 1, 2020",2060
"Sep 30, 2020",2045
"Sep 29, 2020",2229
"Sep 28, 2020",2328
"Sep 27, 2020",1394
"Sep 26, 2020",1681
"Sep 25, 2020",2930
"Sep 24, 2020",2724
"Sep 23, 2020",2933
"Sep 22, 2020",5165
"Sep 21, 2020",4307
"Sep 20, 2020",2271
"Sep 19, 2020",2462
"Sep 18, 2020",3629
"Sep 17, 2020",4009
"Sep 16, 2020",2017
"Sep 15, 2020",1145
"Sep 14, 2020",1535
"Sep 13, 2020",1028
"Sep 12, 2020",1089
"Sep 11, 2020",1314
"Sep 10, 2020",1496
"Sep 9, 2020",1592
