Month,Sales in thousand Canadian dollars
Aug '20,144.46
Jul '20,100.51
Jun '20,66.54
May '20,28.58
Apr '20,19.09
Mar '20,90.52
Feb '20,205.8
Jan '20,202.48
Dec '19,208.26
Nov '19,205.45
Oct '19,206.02
Sep '19,204.66
Aug '19,213.6
Jul '19,224.55
Jun '19,218.97
May '19,209.62
Apr '19,212.45
Mar '19,218.85
Feb '19,175.06
Jan '19,214.06
Dec '18,216.66
Nov '18,213.02
Oct '18,209.24
Sep '18,204.15
Aug '18,205.85
Jul '18,209.85
Jun '18,209.25
May '18,211.16
Apr '18,209.91
Mar '18,205.09
Feb '18,20.19
Jan '18,19.77
