Cause of death,Number of deaths
Infections and parasetic diseases,2096
Neoplasms,28560
Hematologic conditions,379
Encodrine diseases and metabolism disorders,2548
Psychological and behavioral disorders,5293
Nervous system disorders,5511
Eye diseases,7
Ear diseases,4
Cardiovascular diseases,29934
Respiratory system disorders,11203
Digestive system disorders,4825
Skin diseases,321
Musculoskeletal disorders,601
Urogential disorders,2911
"Complications during pregnancy, delivery and postnatal period",4
Complications with origin in perinatal period,205
Cogenital disorders,247
Others,6715
External factors,6692
