daily newspaper,Number of copies sold*
Corriere della Sera,226788
La Repubblica,171849
La Gazzetta dello Sport (monday's edition),135380
La Gazzetta dello Sport,129838
La Stampa,112182
Il Sole 24 Ore,104412
Avvenire,102556
Il Resto del Carlino,83682
Il Messaggero,79682
Corriere dello Sport  (monday's edition),67355
La Nazione,59207
Il Gazzettino,58949
Tuttosport (monday's edition),46535
Il Giornale,44635
Tuttosport,42512
Dolomiten,37889
Il Fatto Quotidiano,36978
Il Giorno,35413
Messaggero Veneto,35114
Il Secolo XIX,34130
