Month,Number of new patients
July 22,8
July 21,-3
July 20,5
July 19,1
July 18,2
July 17,0
July 16,1
July 15,0
July 14,4
July 13,-4
July 12,-1
July 11,-4
July 10,-4
July 9,4
July 8,0
July 7,5
July 6,-3
July 5,1
July 4,-3
July 3,-3
July 2,-1
July 1,-1
June 30,-4
June 29,5
June 28,2
June 27,-2
June 26,-2
June 25,-2
June 24,-1
June 23,-1
June 22,-8
June 21,-3
June 20,3
June 19,-2
June 18,-8
June 17,-9
June 16,-9
June 15,2
June 14,-6
June 13,-1
June 12,-10
June 11,-3
June 10,-13
June 9,-1
June 8,5
June 7,-10
June 6,-16
June 5,-8
June 4,-29
June 3,6
June 2,2
June 1,-5
May 31,-5
May 30,-14
May 29,-22
May 28,-15
May 27,-29
May 26,-2
May 25,-5
May 24,-3
May 23,-9
May 22,-9
May 21,-36
May 20,-32
May 19,3
May 18,-3
May 17,7
May 16,-16
May 15,-27
May 14,-20
May 13,-45
May 12,-13
May 11,2
May 10,-26
May 9,-6
May 8,-34
May 7,-116
May 6,0
May 5,-9
May 4,-19
May 3,-15
May 2,-60
May 1,-29
April 30,-28
April 29,-79
April 28,-27
April 27,12
April 26,-43
April 25,-36
April 24,-23
April 23,-27
April 22,-59
April 21,8
April 20,-10
April 19,-38
April 18,-21
April 17,-42
April 16,-22
April 15,-22
April 14,-11
April 13,2
April 12,-39
April 11,-16
April 10,-7
April 9,9
April 8,16
April 7,3
April 6,0
April 5,16
April 4,40
April 3,61
April 2,56
April 1,67
March 31,94
March 30,60
March 29,78
March 28,99
March 27,85
March 26,131
March 25,93
March 24,59
March 23,32
March 22,52
March 21,58
March 20,34
