Year,Population in millions
2020,43.85
2019,43.05
2018,42.23
2017,41.39
2016,40.55
2015,39.73
2014,38.92
2013,38.14
2012,37.38
2011,36.66
2010,35.98
2009,35.33
2008,34.73
2007,34.17
2006,33.64
2005,33.15
2004,32.69
2003,32.26
2002,31.86
2001,31.45
2000,31.04
1999,30.62
1998,30.19
1997,29.74
1996,29.27
1995,28.76
1994,28.21
1993,27.64
1992,27.03
1991,26.4
1990,25.76
1989,25.11
1988,24.44
1987,23.77
1986,23.1
1985,22.43
1984,21.76
1983,21.1
1982,20.45
1981,19.82
1980,19.22
1979,18.65
1978,18.1
1977,17.58
1976,17.09
1975,16.61
1974,16.15
1973,15.71
1972,15.29
1971,14.87
1970,14.46
1969,14.06
1968,13.66
1967,13.28
1966,12.9
1965,12.55
1964,12.22
1963,11.91
1962,11.62
1961,11.34
1960,11.06
1959,10.78
1958,10.51
1957,10.25
1956,10.01
1955,9.77
1954,9.56
1953,9.36
1952,9.19
1951,9.02
1950,8.87
1949,8.73
1948,8.62
1947,8.51
1946,8.41
1945,8.3
1944,8.2
1943,8.1
1942,8.0
1941,7.9
1940,7.8
1939,7.7
1938,7.6
1937,7.51
1936,7.41
1935,7.32
1934,7.23
1933,7.14
1932,7.05
1931,6.96
1930,6.88
1929,6.79
1928,6.71
1927,6.62
1926,6.54
1925,6.46
1924,6.38
1923,6.3
1922,6.22
1921,6.14
1920,6.06
1919,5.99
1918,5.91
1917,5.84
1916,5.77
1915,5.69
1914,5.62
1913,5.56
1912,5.5
1911,5.45
1910,5.4
1909,5.36
1908,5.31
1907,5.26
1906,5.22
1905,5.17
1904,5.12
1903,5.08
1902,5.03
1901,4.99
1900,4.95
1899,4.9
1898,4.86
1897,4.82
1896,4.77
1895,4.73
1894,4.69
1893,4.65
1892,4.61
1891,4.57
1890,4.53
1889,4.49
1888,4.45
1887,4.41
1886,4.37
1885,4.33
1884,4.29
1883,4.25
1882,4.22
1881,4.18
1880,4.14
1879,4.11
1878,4.07
1877,4.03
1876,4.0
1875,3.97
1874,3.93
1873,3.9
1872,3.87
1871,3.84
1870,3.81
1869,3.78
1868,3.75
1867,3.72
1866,3.69
1865,3.67
1864,3.64
1863,3.61
1862,3.59
1861,3.56
1860,3.54
1859,3.51
1858,3.49
1857,3.46
1856,3.44
1855,3.42
1854,3.39
1853,3.37
1852,3.35
1851,3.32
1850,3.3
1849,3.28
1848,3.25
1847,3.23
1846,3.21
1845,3.19
1844,3.17
1843,3.15
1842,3.12
1841,3.1
1840,3.08
1839,3.06
1838,3.04
1837,3.02
1836,3.0
1835,2.98
1834,2.96
1833,2.94
1832,2.92
1831,2.9
1830,2.88
1829,2.86
1828,2.84
1827,2.82
1826,2.81
1825,2.79
1824,2.77
1823,2.76
1822,2.74
1821,2.73
1820,2.71
1819,2.7
1818,2.69
1817,2.67
1816,2.66
1815,2.65
1814,2.64
1813,2.63
1812,2.61
1811,2.6
1810,2.6
1809,2.59
1808,2.58
1807,2.57
1806,2.56
1805,2.55
1804,2.54
1803,2.53
1802,2.52
1801,2.51
1800,2.5
