bowl game,Sponsorship (in million U.S. dollars)
Tostitos Fiesta Bowl*,17.5
Allstate Sugar Bowl*,17.5
Discover Orange Bowl*,16.0
Rose Bowl Game presented by Vizio*,15.0
AT&T Cotton Bowl Classic,3.0
Outback Bowl,3.0
Capital One Bowl,2.5
Chick-fil-A Bowl,2.5
Buffalo Wild Wings Bowl,2.0
Valero Alamo Bowl,2.0
New Era Pinstripe Bowl,2.0
BBVA Compass Bowl,2.0
TaxSlayer.com Gator Bowl,2.0
Kraft Fight Hunger Bowl,1.0
Meineke Car Care Bowl of Texas,1.0
GoDaddy.com Bowl,1.0
Hyundai Sun Bowl,1.0
AutoZone Liberty Bowl,1.0
Bell Helicopter Armed Forces Bowl,0.75
Franklin American Mortgage Music City Bowl,0.75
Little Caesars Pizza Bowl,0.5
Bridgepoint Education Holiday Bowl,0.5
MAACO Bowl Las Vegas,0.5
Russell Athletic Bowl,0.5
Sheraton Hawaii Bowl,0.45
San Diego County Credit Union Poinsettia Bowl,0.4
R+L Carriers New Orleans Bowl,0.4
Belk Bowl,0.4
AdvoCare V100 Independence Bowl,0.4
Beef 'O'Brady's Bowl St. Petersburg,0.38
Gildan New Mexico Bowl,0.35
Famous Idaho Potato Bowl,0.35
Military Bowl presented by Northrop Grumman,0.35
Heart of Dallas Bowl presented by PlainsCapital Bank,0.35
