State,Percent change
Alabama,14.6%
Alaska,29.4%
Arizona,33.3%
Arkansas,15.5%
California,21.7%
Colorado,21.1%
Connecticut,13.8%
Delaware,21.1%
District of Columbia,1.1%
Florida,24.1%
Georgia,26.7%
Hawaii,20.7%
Idaho,22.2%
Illinois,13%
Indiana,18.2%
Iowa,10.6%
Kansas,12.7%
Kentucky,14.7%
Louisiana,19.6%
Maine,20.7%
Maryland,18.2%
Massachusetts,15.4%
Michigan,15.8%
Minnesota,21.2%
Mississippi,14%
Missouri,8.3%
Montana,22.7%
Nebraska,14.3%
Nevada,30.6%
New Hampshire,23.1%
New Jersey,10.5%
New Mexico,23.3%
New York,12.2%
North Carolina,16.7%
North Dakota,6.7%
Ohio,13.6%
Oklahoma,13.4%
Oregon,21.7%
Pennsylvania,14.3%
Rhode Island,12.5%
South Carolina,26.3%
South Dakota,11.1%
Tennessee,16.7%
Texas,22.5%
Utah,23.5%
Vermont,30.8%
Virginia,26.7%
Washington,16.7%
West Virginia,12.8%
Wisconsin,8.3%
Wyoming,30%
