Year,Population in thousands
2020,1326.54
2019,1325.65
2018,1322.91
2017,1319.39
2016,1316.51
2015,1315.33
2014,1316.27
2013,1319.07
2012,1323.16
2011,1327.7
2010,1332.1
2009,1336.14
2008,1340.07
2007,1344.3
2006,1349.37
2005,1355.65
2004,1363.57
2003,1372.9
2002,1382.74
2001,1391.74
2000,1399.11
1999,1403.78
1998,1406.35
1997,1409.68
1996,1417.74
1995,1433.03
1994,1457.09
1993,1488.06
1992,1520.81
1991,1548.22
1990,1565.25
1989,1569.97
1988,1564.2
1987,1551.21
1986,1536.03
1985,1522.41
1984,1511.19
1983,1501.42
1982,1492.64
1981,1483.88
1980,1474.44
1979,1464.42
1978,1454.27
1977,1443.89
1976,1433.17
1975,1422.05
1974,1410.47
1973,1398.47
1972,1386.07
1971,1373.3
1970,1360.21
1969,1346.82
1968,1333.17
1967,1319.25
1966,1304.98
1965,1290.41
1964,1275.44
1963,1260.22
1962,1245.08
1961,1230.5
1960,1216.82
1959,1204.11
1958,1192.26
1957,1181.02
1956,1170.09
1955,1159.23
1954,1148.21
1953,1136.91
1952,1125.24
1951,1113.24
1950,1100.0
1949,1100.0
1948,1100.0
1947,1100.0
1946,1100.0
1945,1110.0
1944,1110.0
1943,1110.0
1942,1110.0
1941,1120.0
1940,1120.0
1939,1120.0
1938,1120.0
1937,1120.0
1936,1120.0
1935,1120.0
1934,1120.0
1933,1120.0
1932,1120.0
1931,1120.0
1930,1120.0
1929,1120.0
1928,1120.0
1927,1120.0
1926,1120.0
1925,1120.0
1924,1120.0
1923,1110.0
1922,1110.0
1921,1110.0
1920,1100.0
1919,1100.0
1918,1090.0
1917,1070.0
1916,1060.0
1915,1050.0
1914,1030.0
1913,1020.0
1912,1010.0
1911,996.0
1910,984.0
1909,972.0
1908,961.0
1907,949.0
1906,938.0
1905,927.0
1904,916.0
1903,905.0
1902,894.0
1901,883.0
1900,873.0
1899,862.0
1898,852.0
1897,842.0
1896,832.0
1895,822.0
1894,812.0
1893,803.0
1892,793.0
1891,784.0
1890,774.0
1889,765.0
1888,756.0
1887,747.0
1886,738.0
1885,729.0
1884,720.0
1883,712.0
1882,703.0
1881,695.0
1880,687.0
1879,679.0
1878,670.0
1877,662.0
1876,655.0
1875,647.0
1874,639.0
1873,631.0
1872,624.0
1871,617.0
1870,609.0
1869,602.0
1868,595.0
1867,588.0
1866,581.0
1865,574.0
1864,567.0
1863,560.0
1862,553.0
1861,547.0
1860,540.0
1859,534.0
1858,528.0
1857,521.0
1856,515.0
1855,509.0
1854,503.0
1853,497.0
1852,491.0
1851,485.0
1850,479.0
1849,474.0
1848,468.0
1847,462.0
1846,457.0
1845,451.0
1844,446.0
1843,441.0
1842,435.0
1841,430.0
1840,425.0
1839,420.0
1838,415.0
1837,410.0
1836,405.0
1835,400.0
1834,395.0
1833,391.0
1832,386.0
1831,381.0
1830,377.0
1829,372.0
1828,368.0
1827,364.0
1826,359.0
1825,355.0
1824,351.0
1823,346.0
1822,342.0
1821,339.0
1820,337.0
1819,335.0
1818,334.0
1817,334.0
1816,334.0
1815,334.0
1814,334.0
1813,334.0
1812,334.0
1811,334.0
1810,334.0
1809,334.0
1808,334.0
1807,334.0
1806,334.0
1805,334.0
1804,334.0
1803,334.0
1802,334.0
1801,334.0
1800,334.0
