Sweden Company,Turnover in million SEK
Skellefteå Stadshus AB,5253
Komatsu Forest AB,3026
Umeå Kommunföretag AB,2836
Eitech AB,1962
Ålö Holding AB,1795
Martinson Group AB,1795
Fastec Sverige AB,1463
Skellefteå Bil Holding AB,1331
Thorengruppen AB,1287
Wipro Infrastructure Engineering AB,1285
Umia Sweden AB,1172
Umia Holding AB,1172
Rekab Entreprenad AB,1030
Vitec Software Group AB (publ),1017
A3 Allmänna IT - och Telekom AB (publ),806
P.Wikström J:r AB,796
Norrlands Etanolkraft AB,732
Motorcentralen Förvaltning i Umeå AB,727
Balticgruppen AB,722
Kung Fu Invest AB,694
