Occupation,Employment in thousands
Sales and service occupations,4587.8
"Business, finance and administration occupations",3048.8
"Trades, transport and equipment operators and related occupations",2754.5
"Occupations in education, law and social, community and government services",2138.0
Management occupations,1738.0
Natural and applied sciences and related occupations,1570.4
Health occupations,1424.3
Occupations in manufacturing and utilities,851.4
"Occupations in art, culture, recreation and sport",570.3
"Natural resources, agriculture and related production occupations",372.1
