Month,USD CLP exchange rate
Nov-20,768.2
Oct-20,771.5
Sep-20,784.1
Aug-20,779.0
Jul-20,761.0
Jun-20,821.0
May-20,808.1
Apr-20,834.1
Mar-20,859.2
Feb-20,814.0
Jan-20,796.8
Dec-19,732.2
Nov-19,828.4
Oct-19,741.77
Sep-19,725.99
Aug-19,720.84
Jul-19,699.0
Jun-19,680.17
May-19,709.64
Apr-19,678.14
Mar-19,682.1
Feb-19,648.7
Jan-19,663.4
Dec-18,693.5
Nov-18,670.0
Oct-18,693.0
Sep-18,659.4
Aug-18,679.0
Jul-18,638.1
Jun-18,649.0
May-18,627.2
Apr-18,605.7
Mar-18,603.4
Feb-18,591.5
Jan-18,606.4
Dec-17,614.4
Nov-17,643.8
Oct-17,621.02
Sep-17,635.4
Aug-17,631.4
Jul-17,653.2
Jun-17,664.7
May-17,674.4
Apr-17,662.5
Mar-17,662.6
Feb-17,646.35
