Response,Share of respondents who approve of the president
District of Columbia,83%
Hawaii,63%
Rhode Island,58%
Vermont,56%
New York,55%
Massachusetts,55%
Maryland,55%
New Jersey,53%
Connecticut,53%
California,52%
Washington,51%
Illinois,51%
Delaware,51%
Minnesota,50%
Michigan,49%
Wisconsin,49%
Maine,47%
Oregon,47%
Iowa,46%
Florida,46%
Virginia,46%
Pennsylvania,46%
Georgia,45%
Nevada,45%
New Mexico,45%
North Carolina,45%
Ohio,44%
Mississippi,44%
Colorado,43%
New Hampshire,43%
Arizona,42%
Texas,42%
Missouri,41%
Louisiana,40%
South Carolina,40%
Indiana,38%
Kentucky,38%
Kansas,38%
Nebraska,38%
Arkansas,38%
South Dakota,38%
North Dakota,37%
Tennessee,37%
Alabama,36%
Oklahoma,35%
Montana,34%
Idaho,31%
West Virginia,31%
Alaska,29%
Wyoming,28%
Utah,26%
