Month,Numbers of approvals
Jul '20,112259
Jun '20,85432
May '20,46026
Apr '20,56727
Mar '20,111165
Feb '20,140801
Jan '20,136353
Dec '19,130849
Nov '19,127524
Oct '19,130443
Sep '19,129789
Aug '19,129301
Jul '19,128610
Jun '19,129249
May '19,129144
Apr '19,130794
Mar '19,126317
Feb '19,128030
Jan '19,130342
Dec '18,125465
Nov '18,127947
Oct '18,129716
Sep '18,129741
Aug '18,133633
Jul '18,126149
Jun '18,129078
May '18,131451
Apr '18,124821
Mar '18,124489
Feb '18,123918
Jan '18,127683
Dec '17,123561
Nov '17,133718
Oct '17,128752
Sep '17,127232
Aug '17,126258
Jul '17,131683
Jun '17,125557
May '17,124407
Apr '17,123717
Mar '17,125995
Feb '17,127243
Jan '17,128140
