Leading companies,Turnover in thousand SEK
KLS Ugglarps AB,5358201
Kährs Holding AB (publ),3191271
OKG AB,3045855
Bergs Timber AB (publ),3031000
Mekka Traffic AB,2836723
Jacobi Carbons AB,2345849
Electragruppen AB,1869482
Liljas Bil AB,1556339
Liljas Personbilar AB,1556339
Saft AB,1409355
Swedish DLA Agro AB,1365812
"Engström Bil AB, Josef",1332642
"Ljunghäll AB, Metallfabriken",1258820
Norden Machinery AB,1246157
IKEA Industry Hultsfred AB,1237418
"Åbro Bryggeri, AB",1165855
Be-Ge Företagen AB,1048095
Elajo Invest AB (publ),940320
Västerviks Kommuns Förvaltnings AB,900058
Ambia Trading Group AB,888805
