company,Number of employees
LKAB,4188
Max Hotell-och Restauranginvest AB,2842
StudentConsulting Invest AB,1953
Sveaskog AB,840
E10 Baren AB,733
Lindbäcks Group AB,586
BDX Företagen AB,559
Smurfit Kappa Kraftliner Piteå AB,532
Concentus i Kalix AB,485
Luleå Kommunföretag AB,473
Gestamp HardTech AB,449
Polarbrödsgruppen AB,394
Leana Förvaltning AB,390
LL Intressenter AB,355
Stenvalls Trä AB,337
Last & Terräng Häggroths Traktor AB,317
IVAB Infjärdens Värme AB,308
Älvsbyhus Intressenter AB,302
Polarica Holding AB,288
Piteå Kommunföretag AB,246
