Month,Producer Price Index (2015=100)
Dec 2019,102.31
Nov 2019,102.7
Oct 2019,103.3
Sep 2019,102.78
Aug 2019,102.69
Jul 2019,104.32
Jun 2019,103.62
May 2019,104.74
Apr 2019,104.69
Mar 2019,103.99
Feb 2019,104.3
Jan 2019,104.29
Dec 2018,104.13
Nov 2018,105.19
Oct 2018,106.31
Sep 2018,106.27
Aug 2018,105.44
Jul 2018,105.02
Jun 2018,104.5
May 2018,103.52
Apr 2018,102.22
Mar 2018,101.52
Feb 2018,102.55
Jan 2018,102.55
Dec 2017,102.38
Nov 2017,102.18
Oct 2017,101.66
Sep 2017,100.88
Aug 2017,100.28
Jul 2017,100.34
Jun 2017,100.44
May 2017,100.45
Apr 2017,100.38
Mar 2017,100.29
Feb 2017,101.29
Jan 2017,102.52
Dec 2016,100.65
Nov 2016,99.07
Oct 2016,98.89
Sep 2016,97.43
Aug 2016,97.11
Jul 2016,97.37
Jun 2016,97.36
May 2016,95.44
Apr 2016,94.68
Mar 2016,94.82
Feb 2016,94.3
Jan 2016,95.33
Dec 2015,95.33
Nov 2015,98.49
Oct 2015,98.64
Sep 2015,99.39
Aug 2015,100.3
Jul 2015,102.07
Jun 2015,101.97
May 2015,101.05
Apr 2015,100.71
Mar 2015,100.24
Feb 2015,99.79
Jan 2015,99.55
Dec 2014,100.03
Nov 2014,101.1
Oct 2014,102.28
Sep 2014,103.12
Aug 2014,102.55
Jul 2014,103.44
Jun 2014,103.38
May 2014,102.51
Apr 2014,101.65
Mar 2014,101.52
Feb 2014,101.37
Jan 2014,102.4
