Month,Number of viewers in thousands
November 2020,75.99
October 2020,44.92
September 2020,39.32
August 2020,40.64
July 2020,47.43
June 2020,45.0
May 2020,49.35
April 2020,45.88
March 2020,27.35
February 2020,45.64
January 2020,37.05
December 2019,27.17
November 2019,37.37
October 2019,48.48
September 2019,124.72
August 2019,91.24
July 2019,49.62
June 2019,43.55
May 2019,54.75
April 2019,24.03
March 2019,19.6
February 2019,32.33
January 2019,24.41
December 2018,18.45
November 2018,27.55
October 2018,34.29
September 2018,65.5
August 2018,75.52
July 2018,29.7
June 2018,16.69
May 2018,17.81
April 2018,17.19
March 2018,15.19
February 2018,22.55
January 2018,16.32
