Metropolitan Statistical Area,Number of residents in thousands
"New York-Newark-Jersey City, NY-NJ-PA",19216.18
"Los Angeles-Long Beach-Anaheim, CA",13214.8
"Chicago-Naperville-Elgin, IL-IN-WI",9458.54
"Dallas-Fort Worth-Arlington, TX",7573.14
"Houston-The Woodlands-Sugar Land, TX",7066.14
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6280.49
"Miami-Fort Lauderdale-Pompano Beach, FL",6166.49
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6102.43
"Atlanta-Sandy Springs-Alpharetta, GA",6020.36
"Phoenix-Mesa-Chandler, AZ",4948.2
"Boston-Cambridge-Newton, MA-NH",4873.02
"San Francisco-Oakland-Berkeley, CA",4731.8
"Riverside-San Bernardino-Ontario, CA",4650.63
"Detroit-Warren-Dearborn, MI",4319.63
"Seattle-Tacoma-Bellevue, WA",3979.85
"Minneapolis-St. Paul-Bloomington, MN-WI",3640.04
"San Diego-Chula Vista-Carlsbad, CA",3338.33
"Tampa-St. Petersburg-Clearwater, FL",3194.83
"Denver-Aurora-Lakewood, CO",2967.24
"St. Louis, MO-IL",2803.23
"Baltimore-Columbia-Towson, MD",2800.05
"Charlotte-Concord-Gastonia, NC-SC",2636.88
"Orlando-Kissimmee-Sanford, FL",2608.15
"San Antonio-New Braunfels, TX",2550.96
"Portland-Vancouver-Hillsboro, OR-WA",2492.41
"Sacramento-Roseville-Folsom, CA",2363.73
"Pittsburgh, PA",2317.6
"Las Vegas-Henderson-Paradise, NV",2266.72
"Austin-Round Rock-Georgetown, TX",2227.08
"Cincinnati, OH-KY-IN",2221.21
"Kansas City, MO-KS",2157.99
"Columbus, OH",2122.27
"Indianapolis-Carmel-Anderson, IN",2074.54
"Cleveland-Elyria, OH",2048.45
"San Juan-Bayamón-Caguas, PR",2023.23
"San Jose-Sunnyvale-Santa Clara, CA",1990.66
"Nashville-Davidson--Murfreesboro--Franklin, TN",1934.32
"Virginia Beach-Norfolk-Newport News, VA-NC",1768.9
"Providence-Warwick, RI-MA",1624.58
"Milwaukee-Waukesha, WI",1575.18
"Jacksonville, FL",1559.51
"Oklahoma City, OK",1408.95
"Raleigh-Cary, NC",1390.79
"Memphis, TN-MS-AR",1346.05
"Richmond, VA",1291.9
"New Orleans-Metairie, LA",1270.53
"Louisville/Jefferson County, KY-IN",1265.11
"Salt Lake City, UT",1232.7
"Hartford-East Hartford-Middletown, CT",1204.88
"Buffalo-Cheektowaga, NY",1127.98
