prefecture of Japan,Number of emigrants in thousands
Aichi,108.91
Akita,15.11
Aomori,23.2
Chiba,129.15
Ehime,21.22
Fukui,10.77
Fukuoka,93.51
Fukushima,31.14
Gifu,30.8
Gunma,29.25
Hiroshima,48.45
Hokkaido,55.22
Hyogo,92.5
Ibaraki,49.61
Ishikawa,18.99
Iwate,21.29
Kagawa,18.29
Kagoshima,29.72
Kanagawa,193.56
Kochi,11.1
Kumamoto,30.68
Kyoto,55.62
Mie,30.64
Miyagi,47.36
Miyazaki,20.8
Nagano,29.08
Nagasaki,28.39
Nara,26.52
Niigata,28.19
Oita,20.63
Okayama,30.35
Okinawa,26.32
Osaka,150.93
Saga,17.2
Saitama,146.4
Shiga,26.08
Shimane,11.29
Shizuoka,56.27
Tochigi,33.14
Tokushima,11.12
Tokyo,340.84
Tottori,10.1
Toyama,13.35
Wakayama,14.39
Yamagata,16.34
Yamaguchi,24.9
Yamanashi,14.81
