Company and Public Figure,Donations in thousand euros
OMV Petrom,1000.0
H&M,460.0
BRD - Groupe Societe Generale,412.97
Banca Transilvania,290.0
Romgaz,257.95
Salvati Copiii Romania,225.08
Profi,208.0
Globalworth Foundation,200.0
OTP Bank Romania,103.18
Mastercard,100.0
Catena,100.0
Electrica Furnizare,90.0
Antibiotice Iasi,61.95
Agricola,60.0
MetaMinds,41.0
Declic,38.17
SmartBill,35.0
IT Perspective,27.43
Asociatia Romana a Producatorilor Internationali de Medicamente,20.63
Continental Sibiu,20.0
Andra,20.0
Grupul TeraPlast,17.54
Cotnari,10.32
Mihai Culeafa,10.13
Social Innovation Solutions and Coca-Cola Romania,10.0
Bogdan Micu,10.0
