State,"Motor vehicle theft rate per 100,000 inhabitants"
New Mexico,427.2
Colorado,384.0
Hawaii,371.1
Nevada,365.6
Oregon,360.0
California,358.8
Alaska,357.7
Missouri,343.3
Oklahoma,338.1
District of Columbia,330.6
Washington,320.5
South Carolina,290.8
Tennessee,280.9
Texas,267.2
Nebraska,257.7
Alabama,256.5
Kansas,249.9
Arizona,249.4
Arkansas,245.9
North Dakota,235.2
Louisiana,230.5
Kentucky,228.2
Georgia,223.9
Montana,222.4
United States,219.9
Utah,210.2
Indiana,203.8
Minnesota,198.9
South Dakota,198.5
Mississippi,193.1
Maryland,186.2
Florida,181.8
Michigan,177.7
North Carolina,172.2
Connecticut,167.3
Delaware,164.7
Iowa,163.0
Ohio,159.7
Illinois,148.2
West Virginia,135.0
Rhode Island,128.2
Wisconsin,126.8
Wyoming,123.2
Virginia,120.3
New Jersey,116.4
Pennsylvania,96.8
Massachusetts,89.0
Idaho,87.9
New Hampshire,65.7
New York,65.3
Maine,54.0
Vermont,47.8
