Country,Index value in points
Switzerland,90.79
Netherlands,90.68
Belgium,90.46
Sweden,89.44
United Kingdom,89.39
Germany,88.83
Austria,88.56
Denmark,87.96
Finland,87.7
France,87.69
Ireland,85.54
Norway,85.47
Czech Republic,84.88
Portugal,84.88
Canada,84.18
Hungary,83.83
Spain,83.81
Singapore,83.49
Cyprus,83.06
Estonia,82.91
Greece,82.89
Luxembourg,82.82
Italy,82.82
Slovak Republic,82.66
United States,82.28
Malaysia,81.55
Australia,81.51
Slovenia,81.21
Croatia,81.19
Lithuania,81.15
Latvia,79.77
Bulgaria,79.77
Poland,79.67
Romania,79.29
"Korea, Rep",78.48
Japan,78.4
Serbia,78.34
Malta,77.28
New Zealand,77.22
Israel,76.88
Chile,76.08
United Arab Emirates,75.51
Qatar,75.32
Ukraine,74.95
Jordan,73.4
Uruguay,72.89
Thailand,72.46
Mauritius,72.27
Russian Federation,71.94
Iceland,71.91
