State,Juvenile arrest rate
Illinois,451
Delaware,372
Maryland,330
Nevada,293
Pennsylvania,261
Tennessee,255
Alaska,254
Florida,247
Wisconsin,236
Louisiana,204
California,194
New Jersey,178
New York,174
Missouri,172
Massachusetts,170
United States,166
Indiana,163
Hawaii,161
Minnesota,159
Iowa,154
Georgia,150
North Carolina,149
New Mexico,146
Connecticut,137
Washington,136
South Carolina,135
Nebraska,132
Arkansas,121
Arizona,120
Oklahoma,117
Michigan,116
Oregon,112
Ohio,109
Texas,108
Kansas,105
Colorado,101
Rhode Island,98
South Dakota,94
Virginia,85
Kentucky,82
Mississippi,81
Montana,81
New Hampshire,80
North Dakota,71
Utah,69
Wyoming,63
Vermont,60
Idaho,58
Maine,46
West Virginia,45
Alabama,34
