Month,Average mix-adjusted house price in GBP
Sep '20,496484.65
Jun '20,479149.52
Mar '20,482073.7
Dec '19,478956.02
Sep '19,477146.14
June '19,470519.04
Mar '19,464162.21
Dec '18,473252.26
Sep '18,476545.0
Jun '18,479931.38
Mar '18,472357.07
Dec '17,476848.02
Sep '17,483832.75
Jun '17,480151.93
Mar '17,475441.69
Dec '16,472373.76
Sep '16,471767.07
Jun '16,468119.99
Mar '16,464647.45
Dec '15,450053.16
Sep '15,439729.31
Jun '15,419474.31
Mar '15,404705.9
Dec '14,402898.36
Sep '14,403669.62
Jun '14,387182.1
Mar '14,361400.04
Dec '13,352028.13
Sep  '13,340494.02
Jun  '13,324518.34
Mar  '13,312289.31
Dec '12,313744.23
Sep '12,308468.73
Jun '12,306823.39
Mar '12,290378.61
