State,Percent change from preceding period
Washington,6%
Utah,5.8%
South Carolina,5.3%
Florida,5.2%
Arizona,5.1%
Idaho,5%
Colorado,5%
New Hampshire,4.9%
Oregon,4.9%
Nevada,4.9%
Rhode Island,4.9%
California,4.7%
Vermont,4.6%
Massachusetts,4.6%
Tennessee,4.4%
Texas,4.4%
North Carolina,4.3%
Alabama,4.2%
Missouri,4.1%
United States,4.1%
Georgia,4.1%
Maine,4.1%
Virginia,4%
District of Columbia,3.9%
Pennsylvania,3.9%
Maryland,3.8%
New York,3.8%
New Mexico,3.7%
Hawaii,3.7%
New Jersey,3.7%
Illinois,3.7%
Montana,3.7%
Arkansas,3.7%
Connecticut,3.6%
Mississippi,3.4%
Ohio,3.3%
Wisconsin,3.3%
Minnesota,3.3%
Kentucky,3.2%
Kansas,2.9%
Indiana,2.8%
Michigan,2.7%
Iowa,2.7%
Louisiana,2.6%
Delaware,2.6%
South Dakota,2.5%
Nebraska,2.5%
Oklahoma,1.7%
North Dakota,1.7%
Wyoming,1.3%
Alaska,1.2%
West Virginia,1%
