State,Debt in billion U.S. dollars
California,495.36
New York,354.83
Texas,293.2
Illinois,165.16
Florida,129.11
Pennsylvania,127.3
Massachusetts,97.8
New Jersey,94.78
Washington,91.99
Ohio,90.61
Michigan,72.69
Virginia,68.99
Georgia,58.62
Colorado,56.31
Minnesota,53.7
Maryland,53.59
Connecticut,51.69
Indiana,50.5
Kentucky,48.93
Wisconsin,47.2
Missouri,46.58
Arizona,46.19
North Carolina,46.13
Tennessee,43.78
Oregon,38.56
Louisiana,37.14
South Carolina,36.81
Alabama,30.36
Nevada,28.46
Kansas,25.5
Utah,22.68
Oklahoma,19.72
Arkansas,19.15
Iowa,18.96
Hawaii,17.04
District of Columbia,16.16
New Mexico,15.96
Nebraska,14.74
Mississippi,14.17
West Virginia,12.12
Rhode Island,11.71
New Hampshire,10.28
Alaska,9.2
North Dakota,8.3
Maine,8.29
Delaware,7.61
South Dakota,6.57
Idaho,6.12
Montana,5.7
Vermont,4.82
Wyoming,1.92
