Month,Units sold
Dec 19,8701
Nov 19,9392
Oct 19,7577
Sep 19,12741
Aug 19,9062
Jul 19,10322
Jun 19,14208
May 19,12591
Apr 19,12454
Mar 19,28132
Feb 19,5112
Jan 19,8632
Dec 18,6310
Nov 18,6841
Oct 18,6487
Sep 18,13797
Aug 18,7581
Jul 18,13460
Jun 18,14526
May 18,13687
Apr 18,13135
Mar 18,29968
Feb 18,6141
Jan 18,11806
Dec 17,10671
Nov 17,12077
Oct 17,13699
Sep 17,29619
Aug 17,6301
Jul 17,12896
Jun 17,15081
May 17,13764
Apr 17,13094
Mar 17,30867
Feb 17,5237
Jan 17,11676
Dec 16,11319
Nov 16,12915
Oct 16,14659
Sep 16,31113
Aug 16,6195
Jul 16,11582
Jun 16,14503
May 16,13970
Apr 16,13668
Mar 16,30483
Feb 16,5384
Jan 16,11513
Dec 15,9144
Nov 15,11083
Oct 15,13182
Sep 15,28437
Aug 15,5850
Jul 15,13004
Jun 15,14024
May 15,13802
Apr 15,13264
Mar 15,29153
Feb 15,4412
Jan 15,11354
Dec 14,8013
Nov 14,11594
Oct 14,12893
Sep 14,25535
Aug 14,5159
Jul 14,12032
Jun 14,13503
May 14,13534
Apr 14,12958
Mar 14,28841
Feb 14,4178
Jan 14,10747
