Response,Share of respondents
Low-carb diet,19%
Low-calorie diet,14%
Increasing intake of fruit and vegetables,10%
Eating meals regularly,9%
Limiting fat intake,7%
"Consuming herbs, herbal teas",7%
Limiting meat intake,6%
"Limiting intake of bread, potatoes, flour products",6%
"Well-balanced diet, planned by dietician",5%
High-protein diet,5%
Easily digestable diet,5%
Gluten-free diet,4%
Particular way of preparing food,3%
Generally healthier eating,3%
"Consuming supplements, microelements",3%
Limiting milk intake,2%
