Month,Market cap in billion U.S. dollars
"Jan 11, 2021",661.46
"Jan 10, 2021",713.3
Jan 09. 2021,748.56
"Jan 08, 2021",758.63
"Jan 07, 2021",732.06
"Jan 06, 2021",684.67
"Jan 05, 2021",631.98
"Jan 04, 2021",594.38
"Jan 03, 2021",609.41
"Jan 02, 2021",597.21
"Jan 01, 2021",546.0
Dec 2020,539.05
Nov 2020,364.23
Oct 2020,255.37
Sep 2020,199.56
Aug 2020,215.82
Jul 2020,208.9
Jun 2020,168.32
May 2020,174.0
Apr 2020,158.92
Mar 2020,117.81
Feb 2020,156.9
Jan 2020,170.11
Dec 2019,130.45
Nov 2019,136.83
Oct 2019,165.8
Sep 2019,149.01
Aug 2019,172.47
Jul 2019,180.03
Jun 2019,192.44
May 2019,152.06
Apr 2019,94.57
Mar 2019,72.34
Feb 2019,67.7
Jan 2019,60.55
Dec 2018,65.33
Nov 2018,69.9
Oct 2018,109.63
Sep 2018,114.61
Aug 2018,121.35
Jul 2018,133.69
Jun 2018,109.67
May 2018,127.9
Apr 2018,157.16
Mar 2018,118.2
Feb 2018,175.64
Jan 2018,172.1
Dec 2017,237.47
Nov 2017,171.02
Oct 2017,107.74
Sep 2017,72.01
Aug 2017,77.78
Jul 2017,47.39
Jun 2017,40.74
May 2017,37.41
Apr 2017,21.98
Mar 2017,17.41
Feb 2017,19.1
Jan 2017,15.66
Dec 2016,15.49
Nov 2016,11.94
Oct 2016,11.18
Sep 2016,9.69
Aug 2016,9.12
Jul 2016,9.86
Jun 2016,10.58
May 2016,8.29
Apr 2016,6.94
Mar 2016,6.41
Feb 2016,6.68
Jan 2016,5.59
Dec 2015,6.47
Nov 2015,5.62
Oct 2015,4.65
Sep 2015,3.46
Aug 2015,3.35
Jul 2015,4.11
Jun 2015,3.77
May 2015,3.27
Apr 2015,3.33
Mar 2015,3.42
Feb 2015,3.53
Jan 2015,3.0
Dec 2014,4.38
Nov 2014,5.13
Oct 2014,4.55
Sep 2014,5.16
Aug 2014,6.31
Jul 2014,7.67
Jun 2014,8.3
May 2014,8.01
Apr 2014,5.69
Mar 2014,5.75
Feb 2014,6.84
Jan 2014,10.24
Dec 2013,9.19
Nov 2013,13.62
Oct 2013,2.43
Sep 2013,1.57
Aug 2013,1.57
Jul 2013,1.22
Jun 2013,1.1
May 2013,1.45
Apr 2013,1.54
