State,Number of doctorate recipients
California,6076
New York,4260
Texas,4074
Massachusetts,2946
Pennsylvania,2623
Illinois,2517
Florida,2346
Ohio,2051
Michigan,1953
North Carolina,1736
Indiana,1631
Virginia,1518
Georgia,1511
Minnesota,1437
Maryland,1365
New Jersey,1124
Wisconsin,1081
Colorado,1052
Missouri,978
Washington,964
Tennessee,955
Connecticut,786
Arizona,764
Iowa,743
Alabama,667
District of Columbia,588
Louisiana,576
South Carolina,568
Oregon,537
Kansas,534
Utah,512
Oklahoma,504
Kentucky,494
Mississippi,471
Nebraska,341
Rhode Island,326
New Mexico,322
Arkansas,266
Nevada,240
Delaware,238
West Virginia,219
Hawaii,201
North Dakota,193
New Hampshire,165
Puerto Rico,148
South Dakota,114
Montana,112
Wyoming,102
Idaho,97
Vermont,63
Alaska,56
Maine,50
