state of Mexico,Population in thousands
State of Mexico,3489.9
Mexico City,1761.3
Jalisco,1591.2
Veracruz,1379.3
Puebla,1328.9
Michoacán,995.1
Chiapas,961.1
Guanajuato,814.8
Nuevo León,689.6
Oaxaca,665.1
Baja California,615.1
Guerrero,500.1
Tamaulipas,440.0
Chihuahua,432.7
Hidalgo,431.6
Coahuila,405.7
Sinaloa,403.6
Sonora,386.8
Morelos,335.3
Tabasco,311.3
Yucatán,310.4
Quintana Roo,269.3
San Luis Potosí,253.6
Querétaro,248.5
Durango,237.8
Zacatecas,188.7
Tlaxcala,183.4
Nayarit,177.1
Aguascalientes,153.1
Campeche,111.4
Baja California Sur,90.2
Colima,82.7
