Pharmaceutical company,Indicator score from 1 (lowest) to 5 (highest)
Novartis AG,4.56
Roche Holding Ltd.,4.52
GlaxoSmithKline plc,4.26
Johnson & Johnson,4.12
Novo Nordisk A/S,3.98
Takeda Pharamceutical Co.,3.7
Sanofi,3.52
Merck KGaA,3.42
Pfizer Inc.,3.4
Merck & Co. Inc.,3.34
AstraZeneca plc,3.26
Eisai Co. Ltd.,3.08
Bristol-Myers Squibb Co.,3.06
Eli Lilly & Co.,3.0
AbbVie Inc.,2.86
Bayer AG,2.79
Boehringer-Ingelheim GmbH,2.63
Gilead Sciences,2.23
Daiichi Sankyo Co. Ltd.,1.9
Astellas Pharma Inc.,1.82
